Номер КЛАССА,Наименование КЛАССА,Номер БЛОКА,Наименование БЛОКА,КОД,"Наименование КОДА 3-х, 4-х и 5-тизначных рубрик "
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A07.0,Балантидиаз
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A07.1,Жиардиаз  лямблиоз  
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A07.2,Криптоспоридиоз
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A07.3,Изоспороз
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A07.8,Другие уточненные протозойные кишечные болезни
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A07.9,Протозойная кишечная болезнь неуточненная
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A08,Вирусные и другие уточненные кишечные инфекции
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A08.0,Ротавирусный энтерит
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A08.1,"Острая гастроэнтеропатия,вызванная возбудителем Норволк"
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A08.2,Аденовирусный энтерит
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A08.3,Другие вирусные энтериты
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A08.4,Вирусная кишечная инфекция неуточненная
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A08.5,Другие уточненные кишечные инфекции
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A09,Диарея и гастроэнтерит предположительно инфекционные
1,Некоторые инфекционные и паразитарные болезни, A00-A09  ,Кишечные инфекции,A09,Диарея и гастроэнтерит предположительно инфекционного происхождения
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15,"Туберкулез органов дыхания, подтвержденный бактериологически и гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.0,"Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.1,"Туберкулез легких, подтвержденный только ростом культуры"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.2,"Туберкулез легких, подтвержденный гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.3,"Туберкулез легких, подтвержденный неуточненными методами"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.4,"Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.5,"Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.6,"Туберкулезный плеврит, подтвержденный бактериологически и гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.7,"Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.8,"Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A15.9,"Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16,"Туберкулез органов дыхания, не подтвержденный бактериологически или гистологически"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.0,Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.1,Туберкулез легких без проведения бактериологического и гистологического исследований
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.2,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.3,Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.4,"Туберкулез гортани,трахеи,бронхов без упоминания о бактериологическом или гистологическом подтверждении"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.5,Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.7,Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.8,Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A16.9,Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A17,Туберкулез нервной системы
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A17.0,Туберкулезный менингит  G01*  
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A17.1,Менингеальная туберкулема  G07*  
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A17.8,Туберкулез нервной системы других локализаций
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A17.9,Туберкулез нервной системы неуточненный  G99.8*  
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18,Туберкулез других органов
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.0,Туберкулез костей и суставов
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.1,Туберкулез мочеполовых органов
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.2,Туберкулезная периферическая лимфаденопатия
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.3,"Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов"
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.4,Туберкулез кожи и подкожной клетчатки
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.5,Туберкулез глаза
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.6,Туберкулез уха
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.7,Туберкулез надпочечников  Е35.1*  
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A18.8,Туберкулез других уточненных органов
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A19,Милиарный туберкулез
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A19.0,Острый милиарный туберкулез одной уточненной локализации
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A19.1,Острый милиарный туберкулез множественной локализации
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A19.2,Острый милиарный туберкулез неуточненной локализации
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A19.8,Другие формы милиарного туберкулеза
1,Некоторые инфекционные и паразитарные болезни, A15-A19  ,Туберкулез,A19.9,Милиарный туберкулез неуточненной локализации
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A20,Чума
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A20.0,Бубонная чума
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A20.1,Целлюлярнокожная чума
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A20.2,Легочная чума
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A20.3,Чумной менингит
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A20.7,Септическая чума
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A20.8,Другие формы чумы
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A20.9,Чума неуточненная
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A21,Туляремия
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A21.0,Ульцерогландулярная туляремия
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A21.1,Окулогландулярная туляремия
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A21.2,Легочная туляремия
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A21.3,Желудочно-кишечная туляремия
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A21.7,Генерализованная туляремия
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A21.8,Другие формы туляремии
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A21.9,Туляремия неуточненная
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A22,Сибирская язва
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A22.0,Кожная форма сибирской язвы
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A22.1,Легочная форма сибирской язвы
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A22.2,Желудочно-кишечная форма сибирской язвы
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A22.7,Сибиреязвенная септицемия
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A22.8,Другие формы сибирской язвы
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A22.9,Сибирская язва неуточненная
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A23,Бруцеллез
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A23.0,"Бруцеллез, вызванный Brucella melitensis"
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A23.1,"Бруцеллез, вызванный Brucella abortus"
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A23.2,"Бруцеллез, вызванный Brucella suis"
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A23.3,"Бруцеллез, вызванный Brucella canis"
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A23.8,Другие формы бруцеллеза
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A23.9,Бруцеллез неуточненный
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A24,Сап и мелиоидоз
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A24.0,Сап
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A24.1,Острый или молниеносный мелиоидоз
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A24.2,Подострый и хронический мелиоидоз
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A24.3,Другой уточненный мелиоидоз
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A24.4,Мелиоидоз неуточненный
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A25,Лихорадка от укуса крыс
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A25.0,Спириллез
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A25.1,Стрептобациллез
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A25.9,Лихорадка от укуса крыс неуточненная
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A26,Эризепелоид
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A26.0,Кожный эризипелоид
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A26.7,"Септицемия, вызванная Erysipelothrix"
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A26.8,Другие формы эризипелоида
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A26.9,Эризипелоид неуточненный
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A27,Лептоспироз
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A27.0,Лептоспироз желтушно-геморрагический
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A27.8,Другие формы лептоспироза
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A27.9,Лептоспироз неуточненный
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A28,"Другие бактериальные зоонозы, не классифицированные в других рубриках"
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A28.0,Пастереллез
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A28.1,Лихорадка от кошачьих царапин
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A28.2,Экстраинтестинальный иерсиниоз
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A28.8,"Другие уточненные бактериальные зоонозы, не классифицированные в других рубриках"
1,Некоторые инфекционные и паразитарные болезни, A20-A28  ,Некоторые бактериальные зоонозы,A28.9,Бактериальные зоонозы неуточненные
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30,Лепра [болезнь Гансена]
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30.0,Недифференцированная лепра
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30.1,Туберкулоидная лепра
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30.2,Пограничная туберкулоидная лепра
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30.3,Пограничная лепра
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30.4,Пограничная лепроматозная лепра
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30.5,Лепроматозная лепра
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30.8,Другие формы лепры
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A30.9,Лепра неуточненная
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A31,"Инфекции, вызванные другими микробактериями"
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A31.0,"Легочная инфекция, вызванная Mycobacterium"
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A31.1,"Кожная инфекция, вызванная Mycobacterium"
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A31.8,"Другие инфекции, вызванные Mycobacterium"
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A31.9,"Инфекция, вызванная Mycobacterium, неуточненная"
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A32,Листериоз
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A32.0,Кожный листериоз
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A32.1,Листериозный менингит и менингоэнцефалит
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A32.7,Листериозная септицемия
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A32.8,Другие формы листериоза
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A32.9,Листериоз неуточненный
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A33,Столбняк новорожденного
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A33,Столбняк новорожденного
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A34,Акушерский столбняк
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A34,Акушерский столбняк
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A35,Другие формы столбняка
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A35,Другие формы столбняка
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A36,Дифтерия
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A36.0,Дифтерия глотки
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A36.1,Дифтерия носоглотки
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A36.2,Дифтерия гортани
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A36.3,Дифтерия кожи
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A36.8,Другая дифтерия
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A36.9,Дифтерия неуточненная
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A37,Коклюш
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A37.0,"Коклюш, вызванный Bordetella pertussis"
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A37.1,"Коклюш, вызванный Bordetella parapertussis"
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A37.8,"Коклюш,вызванный др.возбудителем вида Bordetella"
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A37.9,Коклюш неуточненный
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A38,Скарлатина
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A38,Скарлатина
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A39,Менингококковая инфекция
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A39.0,Менингококковый менингит  G01*  
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A39.1,Болезнь Уотерхауса-Фридериксена  Е35.1*  
1,Некоторые инфекционные и паразитарные болезни, A30-A49  ,Другие бактериальные болезни,A39.2,Острая менингококкемия
